"id","name"
"424","ADAMTSL1"
"425","ADAMTSL2"
"426","ADAMTSL3"
"427","ADAMTSL4"
"428","ADAMTSL4-AS1"
"429","ADAMTSL4-AS2"
"430","ADAMTSL5"
"431","ADAP1"
"432","ADAP2"
"433","ADAR"
"434","ADARB1"
"435","ADARB2"
"436","ADARB2-AS1"
"437","ADAT1"
"438","ADAT2"
"439","ADAT3"
"440","ADCK1"
"441","ADCK2"
"442","ADCK5"
"443","ADCY1"
"444","ADCY10"
"445","ADCY10P1"
"446","ADCY2"
"447","ADCY3"
"448","ADCY4"
"449","ADCY5"
"450","ADCY6"
"451","ADCY6-DT"
"452","ADCY7"
"453","ADCY8"
"454","ADCY9"
"455","ADCYAP1"
"456","ADCYAP1R1"
"457","ADD1"
"458","ADD2"
"459","ADD3"
"460","ADD3-AS1"
"461","ADGB"
"462","ADGB-DT"
"463","ADGRA1"
"464","ADGRA1-AS1"
"465","ADGRA2"
"466","ADGRA3"
"467","ADGRA3P1"
"468","ADGRB1"
"469","ADGRB2"
"470","ADGRB3"
"471","ADGRB3-DT"
"472","ADGRD1"
"473","ADGRD1-AS1"
"474","ADGRD2"
"475","ADGRE1"
"476","ADGRE2"
"477","ADGRE3"
"478","ADGRE4P"
"479","ADGRE5"
"480","ADGRF1"
"481","ADGRF2"
"482","ADGRF3"
"483","ADGRF4"
"484","ADGRF5"
"485","ADGRF5-AS1"
"486","ADGRF5P1"
"487","ADGRF5P2"
"488","ADGRG1"
"489","ADGRG2"
"490","ADGRG3"
"491","ADGRG4"
"492","ADGRG5"
"493","ADGRG6"
"494","ADGRG7"
"495","ADGRL1"
"496","ADGRL1-AS1"
"497","ADGRL2"
"498","ADGRL3"
"499","ADGRL3-AS1"
"500","ADGRL4"
"501","ADGRV1"
"502","ADH1A"
"503","ADH1B"
"504","ADH1C"
"505","ADH4"
"506","ADH5"
"507","ADH5P2"
"508","ADH5P3"
"509","ADH5P4"
"510","ADH5P5"
"511","ADH6"
"512","ADH7"
"513","ADHFE1"
"514","ADI1"
"515","ADI1P1"
"516","ADI1P2"
"517","ADI1P3"
"518","ADIG"
"519","ADIPOQ"
"520","ADIPOQ-AS1"
"521","ADIPOR1"
"522","ADIPOR1P1"
"523","ADIPOR1P2"
"524","ADIPOR2"
"525","ADIRF"
"526","ADIRF-AS1"
"527","ADK"
"528","ADM"
"529","ADM-DT"
"530","ADM2"
"531","ADM5"
"532","ADNP"
"533","ADNP-AS1"
"534","ADNP2"
"535","ADO"
"536","ADORA1"
"537","ADORA2A"
"538","ADORA2A-AS1"
"539","ADORA2B"
"540","ADORA2BP1"
"541","ADORA3"
"542","ADPGK"
"543","ADPGK-AS1"
"544","ADPRH"
"545","ADPRHL1"
"546","ADPRM"
"547","ADPRS"
"548","ADRA1A"
"549","ADRA1B"
"550","ADRA1D"
"551","ADRA2A"
"552","ADRA2B"
"553","ADRA2C"
"554","ADRB1"
"555","ADRB2"
"556","ADRB3"
"557","ADRM1"
"558","ADSL"
"559","ADSS1"
"560","ADSS2"
"561","ADTRP"
"562","AEBP1"
"563","AEBP2"
"564","AEN"
"565","AFAP1"
"566","AFAP1-AS1"
"567","AFAP1L1"
"568","AFAP1L2"
"569","AFDN"
"570","AFDN-DT"
"571","AFF1"
"572","AFF2"
"573","AFF2-IT1"
"574","AFF3"
"575","AFF4"
"576","AFF4-DT"
"577","AFG1L"
"578","AFG3L1P"
"579","AFG3L2"
"580","AFG3L2P1"
"581","AFM"
"582","AFMID"
"583","AFP"
"584","AFTPH"
"585","AFTPH-DT"
"586","AGA"
"587","AGA-DT"
"588","AGAP1"
"589","AGAP1-IT1"
"590","AGAP10P"
"591","AGAP11"
"592","AGAP12P"
"593","AGAP13P"
"594","AGAP14P"
"595","AGAP2"
"596","AGAP2-AS1"
"597","AGAP3"
"598","AGAP4"
"599","AGAP5"
"600","AGAP6"
"601","AGAP7P"
"602","AGAP9"
"603","AGBL1"
"604","AGBL1-AS1"
"605","AGBL2"
"606","AGBL3"
"607","AGBL4"
"608","AGBL4-AS1"
"609","AGBL4-IT1"
"610","AGBL5"
"611","AGBL5-AS1"
"612","AGBL5-IT1"
"613","AGER"
"614","AGFG1"
"615","AGFG2"
"616","AGGF1"
"617","AGGF1P1"
"618","AGGF1P10"
"619","AGGF1P2"
"620","AGGF1P3"
"621","AGGF1P4"
"622","AGGF1P5"
"623","AGGF1P6"
"624","AGGF1P7"
"625","AGGF1P8"
"626","AGGF1P9"
"627","AGK"
"628","AGK-DT"
"629","AGKP1"
"630","AGKP2"
"631","AGL"
"632","AGMAT"
"633","AGMO"
"634","AGO1"
"635","AGO2"
"636","AGO3"
"637","AGO4"
"638","AGPAT1"
"639","AGPAT2"
"640","AGPAT3"
"641","AGPAT4"
"642","AGPAT5"
"643","AGPAT5P1"
"644","AGPS"
"645","AGR2"
"646","AGR3"
"647","AGRN"
"648","AGRP"
"649","AGT"
"650","AGTPBP1"
"651","AGTR1"
"652","AGTR2"
"653","AGTRAP"
"654","AGXT"
"655","AGXT2"
"656","AHCTF1"
"657","AHCTF1P1"
"658","AHCY"
"659","AHCYL1"
"660","AHCYL2"
"661","AHCYP2"
"662","AHCYP3"
"663","AHCYP4"
"664","AHCYP5"
"665","AHCYP7"
"666","AHCYP8"
"667","AHDC1"
"668","AHI1"
"669","AHI1-DT"
"670","AHNAK"
"671","AHNAK2"
"672","AHR"
"673","AHRR"
"674","AHSA1"
"675","AHSA2P"
"676","AHSG"
"677","AHSP"
"678","AICDA"
"679","AIDA"
"680","AIDAP1"
"681","AIDAP2"
"682","AIDAP3"
"683","AIF1"
"684","AIF1L"
"685","AIFM1"
"686","AIFM1P1"
"687","AIFM2"
"688","AIFM3"
"689","AIG1"
"690","AIG1P1"
"691","AIM2"
"692","AIMP1"
"693","AIMP1P1"
"694","AIMP1P2"
"695","AIMP2"
"696","AIP"
"697","AIPL1"
"698","AIRE"
"699","AIRN"
"700","AJAP1"
"701","AJM1"
"702","AJUBA"
"703","AJUBA-DT"
"704","AK1"
"705","AK2"
"706","AK2P2"
"707","AK3"
"708","AK3P2"
"709","AK3P3"
"710","AK3P4"
"711","AK3P5"
"712","AK4"
"713","AK4P1"
"714","AK4P2"
"715","AK4P3"
"716","AK4P4"
"717","AK4P5"
"718","AK4P6"
"719","AK5"
"720","AK6"
"721","AK6P1"
"722","AK6P2"
"723","AK7"
"724","AK8"
"725","AK9"
"726","AKAIN1"
"727","AKAP1"
"728","AKAP1-DT"
"729","AKAP10"
"730","AKAP11"
"731","AKAP12"
"732","AKAP13"
"733","AKAP13-AS1"
"734","AKAP14"
"735","AKAP17A"
"736","AKAP17BP"
"737","AKAP3"
"738","AKAP4"
"739","AKAP5"
"740","AKAP6"
"741","AKAP7"
"742","AKAP8"
"743","AKAP8L"
"744","AKAP8P1"
"745","AKAP9"
"746","AKIP1"
"747","AKIRIN1"
"748","AKIRIN1P1"
"749","AKIRIN1P2"
"750","AKIRIN2"
"751","AKIRIN2P1"
"752","AKNA"
"753","AKNAD1"
"754","AKR1A1"
"755","AKR1B1"
"756","AKR1B10"
"757","AKR1B10P1"
"758","AKR1B10P2"
"759","AKR1B15"
"760","AKR1B1P1"
"761","AKR1B1P2"
"762","AKR1B1P3"
"763","AKR1B1P4"
"764","AKR1B1P5"
"765","AKR1B1P6"
"766","AKR1B1P7"
"767","AKR1B1P8"
"768","AKR1C1"
"769","AKR1C2"
"770","AKR1C3"
"771","AKR1C4"
"772","AKR1C5P"
"773","AKR1C6P"
"774","AKR1C7P"
"775","AKR1C8"
"776","AKR1D1"
"777","AKR1D1P1"
"778","AKR1E2"
"779","AKR7A2"
"780","AKR7A2P1"
"781","AKR7A2P2"
"782","AKR7A3"
"783","AKR7L"
"784","AKT1"
"785","AKT1S1"
"786","AKT2"
"787","AKT3"
"788","AKT3-IT1"
"789","AKTIP"
"790","ALAD"
"791","ALAS1"
"792","ALAS2"
"793","ALB"
"794","ALCAM"
"795","ALDH16A1"
"796","ALDH18A1"
"797","ALDH1A1"
"798","ALDH1A2"
"799","ALDH1A2-AS1"
"800","ALDH1A3"
"801","ALDH1A3-AS1"
"802","ALDH1B1"
"803","ALDH1L1"
"804","ALDH1L1-AS1"
"805","ALDH1L1-AS2"
"806","ALDH1L2"
"807","ALDH2"
"808","ALDH3A1"
"809","ALDH3A2"
"810","ALDH3B1"
"811","ALDH3B2"
"812","ALDH4A1"
"813","ALDH5A1"
"814","ALDH6A1"
"815","ALDH7A1"
"816","ALDH7A1P1"
"817","ALDH7A1P2"
"818","ALDH7A1P3"
"819","ALDH7A1P4"
"820","ALDH8A1"
"821","ALDH9A1"
"822","ALDOA"
"823","ALDOAP1"
"824","ALDOAP2"
"825","ALDOB"
"826","ALDOC"
"827","ALG1"
"828","ALG10"
"829","ALG10B"
"830","ALG11"
"831","ALG12"
"832","ALG13"
"833","ALG13-AS1"
"834","ALG14"
"835","ALG14-AS1"
"836","ALG1L"
"837","ALG1L10P"
"838","ALG1L11P"
"839","ALG1L12P"
"840","ALG1L13P"
"841","ALG1L14P"
"842","ALG1L15P"
"843","ALG1L2"
"844","ALG1L3P"
"845","ALG1L5P"
"846","ALG1L6P"
"847","ALG1L7P"
"848","ALG1L8P"
"849","ALG1L9P"
"850","ALG2"
"851","ALG3"
"852","ALG3P1"
"853","ALG5"
"854","ALG6"
"855","ALG8"
"856","ALG9"
"857","ALG9-IT1"
"858","ALK"
"859","ALKAL1"
"860","ALKAL2"
"861","ALKBH1"
"862","ALKBH2"
"863","ALKBH3"
"864","ALKBH3-AS1"
"865","ALKBH4"
"866","ALKBH5"
"867","ALKBH6"
"868","ALKBH7"
"869","ALKBH8"
"870","ALLC"
"871","ALMS1"
"872","ALMS1-IT1"
"873","ALMS1P1"
"874","ALOX12"
"875","ALOX12-AS1"
"876","ALOX12B"
"877","ALOX12P1"
"878","ALOX12P2"
"879","ALOX15"
"880","ALOX15B"
"881","ALOX15P1"
"882","ALOX15P2"
"883","ALOX5"
"884","ALOX5AP"
"885","ALOXE3"
"886","ALOXE3P1"
"887","ALPG"
"888","ALPI"
"889","ALPK1"
"890","ALPK2"
"891","ALPK3"
"892","ALPL"
"893","ALPP"
"894","ALS2"
"895","ALS2CL"
"896","ALX1"
"897","ALX3"
"898","ALX4"
"899","ALYREF"
"900","AMACR"
"901","AMBN"
"902","AMBP"
"903","AMBRA1"
"904","AMD1"
"905","AMD1P1"
"906","AMD1P2"
"907","AMD1P3"
"908","AMD1P4"
"909","AMDHD1"
"910","AMDHD2"
"911","AMELX"
"912","AMELY"
"913","AMER1"
"914","AMER2"
"915","AMER3"
"916","AMFR"
"917","AMH"
"918","AMHR2"
"919","AMIGO1"
"920","AMIGO2"
"921","AMIGO3"
"922","AMMECR1"
"923","AMMECR1-IT1"
"924","AMMECR1L"
"925","AMMECR1LP1"
"926","AMN"
"927","AMN1"
"928","AMOT"
"929","AMOTL1"
"930","AMOTL2"
"931","AMPD1"
"932","AMPD2"
"933","AMPD3"
"934","AMPH"
"935","AMT"
"936","AMTN"
"937","AMY1A"
"938","AMY1B"
"939","AMY1C"
"940","AMY2A"
"941","AMY2B"
"942","AMYP1"
"943","AMZ1"
"944","AMZ2"
"945","AMZ2P1"
"946","AMZ2P2"
"947","AMZ2P3"
"948","ANAPC1"
"949","ANAPC10"
"950","ANAPC10P1"
"951","ANAPC11"
"952","ANAPC13"
"953","ANAPC15"
"954","ANAPC15P1"
"955","ANAPC15P2"
"956","ANAPC16"
"957","ANAPC1P1"
"958","ANAPC1P2"
"959","ANAPC1P3"
"960","ANAPC1P4"
"961","ANAPC1P5"
"962","ANAPC1P6"
"963","ANAPC2"
"964","ANAPC4"
"965","ANAPC5"
"966","ANAPC7"
"967","ANG"
"968","ANGEL1"
"969","ANGEL2"
"970","ANGPT1"
"971","ANGPT2"
"972","ANGPT4"
"973","ANGPTL1"
"974","ANGPTL2"
"975","ANGPTL3"
"976","ANGPTL4"
"977","ANGPTL5"
"978","ANGPTL6"
"979","ANGPTL7"
"980","ANGPTL8"
"981","ANHX"
"982","ANK1"
"983","ANK2"
"984","ANK2-AS1"
"985","ANK3"
"986","ANK3-DT"
"987","ANKAR"
"988","ANKDD1A"
"989","ANKDD1B"
"990","ANKEF1"
"991","ANKFN1"
"992","ANKFY1"
"993","ANKH"
"994","ANKH-DT"
"995","ANKHD1"
"996","ANKHD1-DT"
"997","ANKHD1-EIF4EBP3"
"998","ANKIB1"
"999","ANKK1"
"1000","ANKLE1"
"1001","ANKLE2"
"1002","ANKMY1"
"1003","ANKMY2"
"1004","ANKRA2"
"1005","ANKRD1"
"1006","ANKRD10"
"1007","ANKRD10-IT1"
"1008","ANKRD11"
"1009","ANKRD11P1"
"1010","ANKRD11P2"
"1011","ANKRD12"
"1012","ANKRD13A"
"1013","ANKRD13B"
"1014","ANKRD13C"
"1015","ANKRD13D"
"1016","ANKRD16"
"1017","ANKRD17"
"1018","ANKRD17-DT"
"1019","ANKRD18A"
"1020","ANKRD18B"
"1021","ANKRD18CP"
"1022","ANKRD18DP"
"1023","ANKRD18EP"
"1024","ANKRD19P"
"1025","ANKRD2"
"1026","ANKRD20A1"
"1027","ANKRD20A10P"
"1028","ANKRD20A11P"
"1029","ANKRD20A17P"
"1030","ANKRD20A18P"
"1031","ANKRD20A19P"
"1032","ANKRD20A21P"
"1033","ANKRD20A2P"
"1034","ANKRD20A3P"
"1035","ANKRD20A4P"
"1036","ANKRD20A5P"
"1037","ANKRD20A6P"
"1038","ANKRD20A7P"
"1039","ANKRD20A8P"
"1040","ANKRD20A9P"
"1041","ANKRD22"
"1042","ANKRD23"
"1043","ANKRD24"
"1044","ANKRD26"
"1045","ANKRD26P1"
"1046","ANKRD26P2"
"1047","ANKRD26P3"
"1048","ANKRD26P4"
"1049","ANKRD27"
"1050","ANKRD28"
"1051","ANKRD29"
"1052","ANKRD30A"
"1053","ANKRD30B"
"1054","ANKRD30BL"
"1055","ANKRD30BP1"
"1056","ANKRD30BP2"
"1057","ANKRD30BP3"
"1058","ANKRD31"
"1059","ANKRD33"
"1060","ANKRD33B"
"1061","ANKRD33B-AS1"
"1062","ANKRD34A"
"1063","ANKRD34B"
"1064","ANKRD34C"
"1065","ANKRD34C-AS1"
"1066","ANKRD35"
"1067","ANKRD36"
"1068","ANKRD36B"
"1069","ANKRD36BP1"
"1070","ANKRD36BP2"
"1071","ANKRD36C"
"1072","ANKRD36P1"
"1073","ANKRD37"
"1074","ANKRD39"
"1075","ANKRD40"
"1076","ANKRD40CL"
"1077","ANKRD42"
"1078","ANKRD42-DT"
"1079","ANKRD44"
"1080","ANKRD44-AS1"
"1081","ANKRD44-DT"
"1082","ANKRD44-IT1"
"1083","ANKRD45"
"1084","ANKRD46"
"1085","ANKRD49"
"1086","ANKRD49P1"
"1087","ANKRD49P2"
"1088","ANKRD49P3"
"1089","ANKRD49P4"
"1090","ANKRD50"
"1091","ANKRD52"
"1092","ANKRD53"
"1093","ANKRD54"
"1094","ANKRD54P1"
"1095","ANKRD55"
"1096","ANKRD6"
"1097","ANKRD60"
"1098","ANKRD61"
"1099","ANKRD62"
"1100","ANKRD62P1"
"1101","ANKRD62P1-PARP4P3"
"1102","ANKRD63"
"1103","ANKRD65"
"1104","ANKRD65-AS1"
"1105","ANKRD66"
"1106","ANKRD7"
"1107","ANKRD9"
"1108","ANKS1A"
"1109","ANKS1B"
"1110","ANKS3"
"1111","ANKS4B"
"1112","ANKS6"
"1113","ANKUB1"
"1114","ANKZF1"
"1115","ANLN"
"1116","ANO1"
"1117","ANO1-AS1"
"1118","ANO10"
"1119","ANO2"
"1120","ANO3"
"1121","ANO3-AS1"
"1122","ANO4"
"1123","ANO5"
"1124","ANO6"
"1125","ANO7"
"1126","ANO7L1"
"1127","ANO8"
"1128","ANO9"
"1129","ANOS1"
"1130","ANOS2P"
"1131","ANP32A"
"1132","ANP32AP1"
"1133","ANP32B"
"1134","ANP32BP1"
"1135","ANP32BP2"
"1136","ANP32BP3"
"1137","ANP32C"
"1138","ANP32D"
"1139","ANP32E"
"1140","ANPEP"
"1141","ANTKMT"
"1142","ANTXR1"
"1143","ANTXR2"
"1144","ANTXRL"
"1145","ANTXRLP1"
"1146","ANXA1"
"1147","ANXA10"
"1148","ANXA11"
"1149","ANXA13"
"1150","ANXA2"
"1151","ANXA2P1"
"1152","ANXA2P2"
"1153","ANXA2P3"
"1154","ANXA2R"
"1155","ANXA2R-AS1"
"1156","ANXA2R-OT1"
"1157","ANXA3"
"1158","ANXA4"
"1159","ANXA5"
"1160","ANXA6"
"1161","ANXA7"
"1162","ANXA8"
"1163","ANXA8L1"
"1164","ANXA9"
"1165","AOAH"
"1166","AOAH-IT1"
"1167","AOC1"
"1168","AOC2"
"1169","AOC3"
"1170","AOC4P"
"1171","AOPEP"
"1172","AOX1"
"1173","AOX2P"
"1174","AOX3P"
"1175","AOX3P-AOX2P"
"1176","AP1AR"
"1177","AP1AR-DT"
"1178","AP1B1"
"1179","AP1B1P1"
"1180","AP1B1P2"
"1181","AP1G1"
"1182","AP1G2"
"1183","AP1G2-AS1"
"1184","AP1M1"
"1185","AP1M2"
"1186","AP1M2P1"
"1187","AP1S1"
"1188","AP1S2"
"1189","AP1S2P1"
"1190","AP1S3"
"1191","AP2A1"
"1192","AP2A2"
"1193","AP2B1"
"1194","AP2B1P1"
"1195","AP2M1"
"1196","AP2S1"
"1197","AP3B1"
"1198","AP3B2"
"1199","AP3D1"
"1200","AP3M1"
"1201","AP3M2"
"1202","AP3S1"
"1203","AP3S2"
"1204","AP4B1"
"1205","AP4B1-AS1"
"1206","AP4E1"
"1207","AP4M1"
"1208","AP4S1"
"1209","AP5B1"
"1210","AP5M1"
"1211","AP5S1"
"1212","AP5Z1"
"1213","APAF1"
"1214","APBA1"
"1215","APBA2"
"1216","APBA3"
"1217","APBB1"
"1218","APBB1IP"
"1219","APBB2"
"1220","APBB3"
"1221","APC"
"1222","APC2"
"1223","APCDD1"
"1224","APCDD1L"
"1225","APCDD1L-DT"
"1226","APCS"
"1227","APEH"
"1228","APELA"
"1229","APEX1"
"1230","APEX2"
"1231","APH1A"
"1232","APH1B"
"1233","API5"
"1234","API5P1"
"1235","API5P2"
"1236","APIP"
"1237","APLF"
"1238","APLN"
"1239","APLNR"
"1240","APLP1"
"1241","APLP2"
"1242","APMAP"
"1243","APOA1"
"1244","APOA1-AS"
"1245","APOA2"
"1246","APOA4"
"1247","APOA5"
"1248","APOB"
"1249","APOBEC1"
"1250","APOBEC2"
"1251","APOBEC3A"
"1252","APOBEC3AP1"
"1253","APOBEC3B"
"1254","APOBEC3B-AS1"
"1255","APOBEC3C"
"1256","APOBEC3D"
"1257","APOBEC3F"
